caller,file_path,github_url
main,salesforce_CodeRL/CodeRL/transformers/examples/flax/language-modeling/run_clm_flax.py,github.com/salesforce/coderl
Rerank.__init__,facebookresearch_tart/tart/TART/interactive.py,github.com/facebookresearch/tart
create_student_by_copying_alternating_layers,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/seq2seq-distillation/make_student.py,github.com/salesforce/coderl
,Guzpenha_transformer_rankers/transformer_rankers/transformer_rankers/scripts/apply_response2context.py,github.com/guzpenha/transformer_rankers
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/rag-end2end-retriever/eval_rag.py,github.com/cuongnn218/zalo_ltr_2021
,kmeng01_memit/memit/baselines/mend/algs/mend.py,github.com/kmeng01/memit
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/flax/language-modeling/run_clm_flax.py,github.com/cuongnn218/zalo_ltr_2021
,qiuhuachuan_smile/smile/src/chatglm6b_lora_eval.py,github.com/qiuhuachuan/smile
Scorer.__init__,naver_gdc/gdc/rm_vs_dm/gdc/gdc/scorer.py,github.com/naver/gdc
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/speech-pretraining/run_wav2vec2_pretraining_no_trainer.py,github.com/cuongnn218/zalo_ltr_2021
load_model,seujung_KoBART-summarization/KoBART-summarization/infer.py,github.com/seujung/kobart-summarization
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/question-answering/run_squad_trainer.py,github.com/cuongnn218/zalo_ltr_2021
main,shibing624_MedicalGPT/MedicalGPT/rl_training.py,github.com/shibing624/medicalgpt
main,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/bertology/run_prune_gpt.py,github.com/salesforce/coderl
main,qiuhuachuan_smile/smile/src/finetune.py,github.com/qiuhuachuan/smile
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/text-classification/run_tf_text_classification.py,github.com/cuongnn218/zalo_ltr_2021
Seq2Vec.__init__;convert_protein_seq_to_embedding,zjunlp_OntoProtein/OntoProtein/src/benchmark/GNN_PPI/convert.py,github.com/zjunlp/ontoprotein
generate_summaries_or_translations,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/seq2seq/run_eval.py,github.com/voidism/diffcse
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/tensorflow/multiple-choice/run_swag.py,github.com/cuongnn218/zalo_ltr_2021
,qanastek_HugsVision/HugsVision/recipes/pneumothorax/binary_classification/train_example_vit.py,github.com/qanastek/hugsvision
main,salesforce_CodeRL/CodeRL/transformers/examples/flax/image-captioning/create_model_from_encoder_decoder_models.py,github.com/salesforce/coderl
MBertAnnotator.__init__,NorskRegnesentral_skweak/skweak/examples/sentiment/sentiment_models.py,github.com/norskregnesentral/skweak
CustomEncoderDiffusionModel.init_model,Mikubill_naifu-diffusion/naifu-diffusion/experiment/custom_encoder.py,github.com/mikubill/naifu-diffusion
get_dls;get_model,tcapelle_apple_m1_pro_python/apple_m1_pro_python/tensorflow/train_bert.py,github.com/tcapelle/apple_m1_pro_python
,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/wav2vec2/run_common_voice.py,github.com/salesforce/coderl
,thunlp_KernelGAT/KernelGAT/scikgat/rationale_selection/transformer.py,github.com/thunlp/kernelgat
MultilingualCLIP.__init__;TextEncoder.__init__,ai-forever_Kandinsky-2/Kandinsky-2/kandinsky2/model/text_encoders.py,github.com/ai-forever/kandinsky-2
main,voidism_DiffCSE/DiffCSE/transformers-4.2.1/examples/language-modeling/run_plm.py,github.com/voidism/diffcse
RNARTrainingInstructor._load_dataset_and_prepare_dataloader,yangheng95_PyABSA/PyABSA/pyabsa/tasks/RNARegression/instructor/rnar_instructor.py,github.com/yangheng95/pyabsa
,andreamad8_FSB/FSB/retrievers/test_tries.py,github.com/andreamad8/fsb
main,danielgross_LlamaAcademy/LlamaAcademy/main.py,github.com/danielgross/llamaacademy
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/legacy/seq2seq/finetune_trainer.py,github.com/cuongnn218/zalo_ltr_2021
ClipCaptionModel.__init__;ClipCocoDataset.__init__,DavidHuji_CapDec/CapDec/train.py,github.com/davidhuji/capdec
FlaxHybridCLIP.from_text_vision_pretrained,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/jax-projects/hybrid_clip/modeling_hybrid_clip.py,github.com/cuongnn218/zalo_ltr_2021
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/flax/summarization/run_summarization_flax.py,github.com/cuongnn218/zalo_ltr_2021
TestMbartCc25Enro.test_model_download,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/seq2seq-distillation/_test_bash_script.py,github.com/salesforce/coderl
,bminixhofer_wtpsplit/wtpsplit/wtpsplit/evaluation/extrinsic.py,github.com/bminixhofer/wtpsplit
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/pytorch/translation/run_translation_no_trainer.py,github.com/cuongnn218/zalo_ltr_2021
,robustness-gym_summvis/summvis/generation.py,github.com/robustness-gym/summvis
check_safety,salesforce_UniControl/UniControl/utils.py,github.com/salesforce/unicontrol
model.__init__,zhoujx4_NLP-Series-sentence-embeddings/NLP-Series-sentence-embeddings/run_bert_avg.py,github.com/zhoujx4/nlp-series-sentence-embeddings
main,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/bertology/run_bertology.py,github.com/salesforce/coderl
,egorsmkv_speech-recognition-uk/speech-recognition-uk/speech-to-text/test_whisper_transformers.py,github.com/egorsmkv/speech-recognition-uk
Embedder.__init__;main,NyanNyanovich_nyan/nyan/scripts/train_embedder.py,github.com/nyannyanovich/nyan
,demi6od_ChatBot/ChatBot/ChatBotBertGPT/model.py,github.com/demi6od/chatbot
main,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/codeparrot/scripts/human_eval.py,github.com/cuongnn218/zalo_ltr_2021
run_probs_T5;run_UnifQA;run_GPTJ;run_answers;run_probs;run_probs_GPTJ,sylinrl_TruthfulQA/TruthfulQA/truthfulqa/models.py,github.com/sylinrl/truthfulqa
BiRecurrentConvCRF4NestedNER.__init__,yahshibu_nested-ner-tacl2020-transformers/nested-ner-tacl2020-transformers/model/sequence_labeling.py,github.com/yahshibu/nested-ner-tacl2020-transformers
CoNTGenerator.__init__,Shark-NLP_CoNT/CoNT/model/model.py,github.com/shark-nlp/cont
main,salesforce_CodeRL/CodeRL/transformers/examples/legacy/token-classification/run_ner.py,github.com/salesforce/coderl
main,salesforce_CodeRL/CodeRL/transformers/examples/pytorch/text-classification/run_xnli.py,github.com/salesforce/coderl
