signature,github_url,stars,fileID,file_path,param,desc
transformers.AutoTokenizer.from_pretrained;transformers.CanineTokenizer.from_pretrained,github.com/bminixhofer/wtpsplit,422,005a31ef6f80b21ad5f735b7975730bc,bminixhofer_wtpsplit/wtpsplit/wtpsplit/evaluation/punct_annotation.py,unknown;google/canine-s,Code for Where's the Point? Self-Supervised Multilingual Punctuation-Agnostic Sentence Segmentation
transformers.AutoConfig.from_pretrained;transformers.AutoConfig.from_pretrained;transformers.AutoTokenizer.from_pretrained;transformers.AutoTokenizer.from_pretrained;transformers.FlaxAutoModelForCausalLM.from_pretrained,github.com/salesforce/CodeRL,436,99bb01e055289bf9dc38a7536069f7dd,salesforce_CodeRL/CodeRL/transformers/examples/flax/language-modeling/run_clm_flax.py,"unknown,cache_dir=unknown;unknown,cache_dir=unknown;unknown,cache_dir=unknown,use_fast=unknown;unknown,cache_dir=unknown,use_fast=unknown;unknown,config=config,seed=unknown,dtype=getattr",This is the official code for the paper CodeRL: Mastering Code Generation through Pretrained Models and Deep Reinforcement Learning (NeurIPS22).
transformers.AutoModelForSequenceClassification.from_pretrained;transformers.AutoTokenizer.from_pretrained,github.com/facebookresearch/tart,130,28fe50e58029e8f206bd4a9d99d435c8,facebookresearch_tart/tart/TART/interactive.py,model_name_or_path;model_name_or_path,"Code and model release for the paper ""Task-aware Retrieval with Instructions"" by Asai et al."
transformers.AutoTokenizer.from_pretrained.save_pretrained;transformers.AutoModelForSeq2SeqLM.from_pretrained.eval,github.com/salesforce/CodeRL,436,58ec4986628dd73d605cee21602fb86a,salesforce_CodeRL/CodeRL/transformers/examples/research_projects/seq2seq-distillation/make_student.py,save_path;,This is the official code for the paper CodeRL: Mastering Code Generation through Pretrained Models and Deep Reinforcement Learning (NeurIPS22).
transformers.TFEncoderDecoderModel.from_pretrained,github.com/27182812/ChatGLM-LLaMA-chinese-insturct,384,58d3a7e3c248674afb3e4dc0d001faa6,27182812_ChatGLM-LLaMA-chinese-insturct/ChatGLM-LLaMA-chinese-insturct/src/transformers/models/encoder_decoder/modeling_encoder_decoder.py,"pretrained_model_name_or_path,unknown,None=kwargs","探索中文instruct数据在ChatGLM, LLaMA上的微调表现"
transformers.AutoTokenizer.from_pretrained;transformers.T5ForConditionalGeneration.from_pretrained.to,github.com/Guzpenha/transformer_rankers,155,044aca96fd3934ad144a8c5754137b5f,Guzpenha_transformer_rankers/transformer_rankers/transformer_rankers/scripts/apply_response2context.py,model_checkpoint;device,A library to conduct ranking experiments with transformers.
transformers.RagRetriever.from_pretrained,github.com/CuongNN218/zalo_ltr_2021,138,572db94f7c573dd220705d384adad448,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/research_projects/rag-end2end-retriever/eval_rag.py,"checkpoint,None=model_kwargs",Source code for Zalo AI 2021 submission
transformers.GPT2LMHeadModel.from_pretrained,github.com/kmeng01/memit,325,3eda6d14bb0a253cc59496200da00e51,kmeng01_memit/memit/baselines/mend/algs/mend.py,gpt2,Mass-editing thousands of facts into a transformer memory (ICLR 2023)
transformers.AutoConfig.from_pretrained;transformers.AutoConfig.from_pretrained;transformers.AutoTokenizer.from_pretrained;transformers.AutoTokenizer.from_pretrained;transformers.FlaxAutoModelForCausalLM.from_pretrained,github.com/CuongNN218/zalo_ltr_2021,138,8ac71dd2a3917b769ca7f148aef46488,CuongNN218_zalo_ltr_2021/zalo_ltr_2021/transformers/examples/flax/language-modeling/run_clm_flax.py,"unknown,cache_dir=unknown;unknown,cache_dir=unknown;unknown,cache_dir=unknown,use_fast=unknown;unknown,cache_dir=unknown,use_fast=unknown;unknown,config=config,seed=unknown,dtype=getattr",Source code for Zalo AI 2021 submission
transformers.AutoTokenizer.from_pretrained,github.com/AlibabaResearch/DAMO-ConvAI,788,36ea8fe5dfe74deefff32701ea8d5992,AlibabaResearch_DAMO-ConvAI/DAMO-ConvAI/dater/code/text2sql/scripts/mmqa/annotate_binder_program.py,pretrained_model_name_or_path=os.path.join,DAMO-ConvAI: The official repository which contains the codebase for Alibaba DAMO Conversational AI.
transformers.AutoModel.from_pretrained;transformers.AutoTokenizer.from_pretrained,github.com/qiuhuachuan/smile,203,ee4840b2dc945e992215ca54b0c49952,qiuhuachuan_smile/smile/src/chatglm6b_lora_eval.py,"THUDM/chatglm-6b,revision=v0.1.0,trust_remote_code=True;THUDM/chatglm-6b,trust_remote_code=True",SMILE: Single-turn to Multi-turn Inclusive Language Expansion via ChatGPT for Mental Health Support
