signature,github_url,stars,fileID,file_path,param,desc
torchvision.models.video.r3d_18,github.com/pliang279/MultiBench,366,de8a077cf22904c8cba968b0aaa41e29,pliang279_MultiBench/MultiBench/special/kinetics_video_unimodal_feature_gen.py,pretrained=True,[NeurIPS 2021] Multiscale Benchmarks for Multimodal Representation Learning
torchvision.models.resnet34,github.com/ZPdesu/Barbershop,1195,52d59fa2d50c115f588f1f86448dbea8,ZPdesu_Barbershop/Barbershop/losses/masked_lpips/pretrained_networks.py,pretrained=pretrained,Barbershop: GAN-based Image Compositing using Segmentation Masks (SIGGRAPH Asia 2021)
torchvision.models.resnet34,github.com/vikashplus/robohive,315,14fa30bc52005da49a6b13145ba3e55a,vikashplus_robohive/robohive/robohive/envs/env_base.py,weights=unknown,A unified framework for robot learning
torchvision.models.resnet34,github.com/marshuang80/gloria,105,1eed2a57425a85a5a3f1c0549835244b,marshuang80_gloria/gloria/gloria/models/cnn_backbones.py,pretrained=pretrained,GLoRIA: A Multimodal Global-Local Representation Learning Framework forLabel-efficient Medical Image Recognition
torchvision.models.resnet34,github.com/JunukCha/MultiPerson,123,3cd50e433026b27a2f45f9bff4201da9,JunukCha_MultiPerson/MultiPerson/lib/models/simple3dposeBaseSMPL24.py,pretrained=True,Multi-Person 3D Pose and Shape Estimation via Inverse Kinematics and Refinement
torchvision.models.resnet34,github.com/NVlabs/UMR,223,f103048c981f642d0890a757ac5af57b,NVlabs_UMR/UMR/external/PerceptualSimilarity/models/pretrained_networks.py,pretrained=pretrained,Self-supervised Single-view 3D Reconstruction
torchvision.models.resnet34;torchvision.models.resnet34,github.com/neptune-ai/open-solution-mapping-challenge,365,99732d4b2d04efd67a1580479339f88d,neptune-ai_open-solution-mapping-challenge/open-solution-mapping-challenge/src/unet_models.py,pretrained=pretrained;pretrained=pretrained,Open solution to the Mapping Challenge :earth_americas:
torchvision.models.resnet34,github.com/Taeu/Style-Your-Hair,229,34f4470d7dba5161b9c7f89fca2c1995,Taeu_Style-Your-Hair/Style-Your-Hair/losses/lpips/pretrained_networks.py,pretrained=pretrained,"Official Pytorch implementation of ""Style Your Hair: Latent Optimization for Pose-Invariant Hairstyle Transfer via Local-Style-Aware Hair Alignment (ECCV 2022)"""
torchvision.models.resnet34;torchvision.models.resnet34,github.com/yuxiangsun/RTFNet,140,453197be7c279133839c9d9341ef3ab7,yuxiangsun_RTFNet/RTFNet/model/RTFNet.py,pretrained=True;pretrained=True,RGB-Thermal Fusion Network for Semantic Segmentation of Urban Scenes
torchvision.models.resnet34,github.com/kexinyi/ns-vqa,248,b0f69784e4a5c68256dd0b36a48ce419,kexinyi_ns-vqa/ns-vqa/scene_parse/attr_net/model.py,pretrained=True,Neural-symbolic visual question answering
