github_url,model_name,model_type
github.com/1rgs/clarity-reader,sentence-transformers/all-MiniLM-L6-v2,nlp
github.com/27182812/chatglm-llama-chinese-insturct,LLaMA-7B,nlp
github.com/27182812/chatglm-llama-chinese-insturct,THUDM/chatglm-6b,nlp
github.com/7eu7d7/dreamartist-stable-diffusion,CompVis/stable-diffusion-safety-checker,vision
github.com/abhijithneilabraham/tableqa,bert-large-uncased-whole-word-masking-finetuned-squad,nlp
github.com/ai-forever/kandinsky-2,bert,nlp
github.com/ai-forever/kandinsky-2,T5,nlp
github.com/ai-forever/kandinsky-2,MT5,nlp
github.com/ai-forever/kandinsky-2,XLM-Roberta-Large-Vit-L-14,multi_modal
github.com/ai-forever/kandinsky-2,CLIP,multi_modal
github.com/aigc-audio/audiogpt,bert-base-uncased,nlp
github.com/aigc-audio/audiogpt,facebook/wav2vec2-base-960h,speech
github.com/aigc-audio/audiogpt,runwayml/stable-diffusion-v1-5,multi_modal
github.com/aigc-audio/audiogpt,Gustavosta/MagicPrompt-Stable-Diffusion,multi_modal
github.com/airsplay/vokenization,albert,nlp
github.com/airsplay/vokenization,bert,nlp
github.com/airsplay/vokenization,DistilBERT,nlp
github.com/airsplay/vokenization,RoBERTa,nlp
github.com/airsplay/vokenization,xlm,nlp
github.com/airsplay/vokenization,XLM-RoBERTa,nlp
github.com/airsplay/vokenization,xlnet,nlp
github.com/ajayjain/dietnerf,resnext50_32x4d,vision
github.com/ajayjain/dietnerf,clip_rn50,multi_modal
github.com/ajayjain/dietnerf,clip_vit,multi_modal
github.com/ajayjain/dietnerf,clip_vit_b16,multi_modal
github.com/ajayjain/dietnerf,clip_rn50x4,multi_modal
github.com/akegarasu/chatglm-webui,THUDM/chatglm-6b,nlp
github.com/alibaba-miil/imagenet21k,mixer_b16_224_miil_in21k,vision
github.com/alibaba-miil/imagenet21k,mobilenetv3_large_100_miil_in21k,vision
github.com/alibaba-miil/imagenet21k,resnet_m_miil_in21k,vision
github.com/alibaba-miil/imagenet21k,vit_base_patch16_224_miil_in21k,vision
github.com/alibabaresearch/advancedliteratemachinery,char_str_base_patch4_3_32_128,vision
github.com/alibabaresearch/advancedliteratemachinery,mgp_str_base_patch4_3_32_128,vision
github.com/alibabaresearch/advancedliteratemachinery,mgp_str_large_patch4_3_32_128,vision
github.com/alibabaresearch/advancedliteratemachinery,mgp_str_small_patch4_3_32_128,vision
github.com/alibabaresearch/advancedliteratemachinery,mgp_str_tiny_patch4_3_32_128,vision
github.com/alibabaresearch/damo-convai,facebook/bart-large,nlp
github.com/alibabaresearch/damo-convai,gpt2,nlp
github.com/alirezazareian/ovr-cnn,bert-base-uncased,nlp
github.com/allenai/comet-atomic-2020,facebook/bart-large,nlp
github.com/allenai/comet-atomic-2020,GPT2,nlp
github.com/allenai/comet-atomic-2020,T5,nlp
github.com/allenai/real-toxicity-prompts,gpt2,nlp
github.com/amazon-science/sccl,distilbert-base-nli-stsb-mean-tokens,nlp
github.com/amazon-science/sccl,distilbert-base-uncased,nlp
github.com/amshaker/swiftformer,SwiftFormer_XS,vision
github.com/andreamad8/fsb,EleutherAI/gpt-j-6B,nlp
github.com/andreamad8/fsb,EleutherAI/gpt-neo-1.3B,nlp
github.com/andreamad8/fsb,EleutherAI/gpt-neo-2.7B,nlp
github.com/andreamad8/fsb,gpt2,nlp
github.com/andreamad8/fsb,gpt2-large,nlp
github.com/andreamad8/fsb,gpt2-medium,nlp
github.com/andreamad8/fsb,gpt2-xl,nlp
github.com/andreamad8/fsb,all-mpnet-base-v2,nlp
github.com/andreamad8/fsb,en_core_web_sm,nlp
github.com/antoyang/tubedetr,resnet101,vision
github.com/antoyang/tubedetr,resnet18,vision
github.com/antoyang/tubedetr,resnet34,vision
github.com/antoyang/tubedetr,roberta-base,nlp
github.com/antoyang/tubedetr,resnet50,vision
github.com/ashawkey/rad-nerf,pierse/wav2vec2-large-xlsr-53-esperanto,speech
github.com/ashawkey/stable-dreamfusion,resnet34,vision
github.com/ashawkey/stable-dreamfusion,bert-base-uncased,nlp
github.com/ashawkey/stable-dreamfusion,vit_large_patch16_384,vision
github.com/ashawkey/stable-dreamfusion,Voicelab/vlt5-base-keywords,nlp
github.com/ashawkey/stable-dreamfusion,Salesforce/blip2-opt-2.7b,multi_modal
github.com/ashkamath/mdetr,roberta-base,nlp
github.com/avinashkranjan/amazing-python-scripts,efficientnet_b2,vision
github.com/avinashkranjan/amazing-python-scripts,en_core_web_sm,nlp
github.com/aws-samples/aws-genai-llm-chatbot,cross-encoder/ms-marco-MiniLM-L-12-v2,nlp
github.com/aws-samples/aws-genai-llm-chatbot,intfloat/multilingual-e5-large,nlp
github.com/aws-samples/aws-genai-llm-chatbot,sentence-transformers/all-MiniLM-L6-v2,nlp
github.com/awslabs/pptod,en_core_web_sm,nlp
github.com/awslabs/pptod,t5-base,nlp
github.com/awslabs/pptod,t5-small,nlp
github.com/awslabs/pptod,facebook/bart-base,nlp
github.com/awslabs/pptod,facebook/bart-large,nlp
github.com/awslabs/pptod,t5-large,nlp
github.com/bminixhofer/wtpsplit,xx_sent_ud_sm,nlp
github.com/bminixhofer/wtpsplit,sat-1l,nlp
github.com/bminixhofer/wtpsplit,sat-1l-sm,nlp
github.com/bminixhofer/wtpsplit,sat-3l,nlp
github.com/bminixhofer/wtpsplit,sat-3l-lora,nlp
github.com/bminixhofer/wtpsplit,sat-3l-sm,nlp
github.com/bminixhofer/wtpsplit,sat-6l,nlp
github.com/bminixhofer/wtpsplit,sat-6l-sm,nlp
github.com/bminixhofer/wtpsplit,sat-9l,nlp
github.com/bminixhofer/wtpsplit,sat-12l,nlp
github.com/bminixhofer/wtpsplit,sat-12l-lora,nlp
github.com/bminixhofer/wtpsplit,sat-12l-sm,nlp
github.com/bofenghuang/vigogne,bofenghuang/vigogne-2-7b-chat,nlp
github.com/bofenghuang/vigogne,bofenghuang/vigogne-2-7b-instruct,nlp
github.com/boudinfl/ake-datasets,pt_core_news_sm,nlp
github.com/brightics/studio,en_core_web_sm,nlp
github.com/chenwu98/cycle-diffusion,bert-base-uncased,nlp
github.com/chenwu98/cycle-diffusion,openai/clip-vit-large-patch14,multi_modal
github.com/chenwu98/cycle-diffusion,ViT-L/14,vision
github.com/china-ai-law-challenge/cail2020,bert-large-uncased,nlp
github.com/china-ai-law-challenge/cail2020,bert-base-uncased,nlp
github.com/chrisociepa/allamo,llama,nlp
github.com/cloneofsimo/paint-with-words-sd,openai/clip-vit-large-patch14,multi_modal
github.com/cloneofsimo/paint-with-words-sd,CompVis/stable-diffusion-v1-4,multi_modal
github.com/cloneofsimo/paint-with-words-sd,runwayml/stable-diffusion-inpainting,multi_modal
github.com/cloneofsimo/paint-with-words-sd,CompVis/stable-diffusion-safety-checker,vision
github.com/clue-ai/chatyuan,ClueAI/ChatYuan-large-v2,nlp
github.com/contextscout/gcn_ner,en_core_web_md,nlp
github.com/cross-domain-compositing/cross-domain-compositing,resnet18,vision
github.com/cross-domain-compositing/cross-domain-compositing,bert-base-uncased,nlp
github.com/cross-domain-compositing/cross-domain-compositing,openai/clip-vit-large-patch14,multi_modal
github.com/cross-domain-compositing/cross-domain-compositing,CompVis/stable-diffusion-safety-checker,vision
github.com/csinva/gpt-paper-title-generator,EleutherAI/gpt-j-6B,nlp
github.com/csinva/gpt-paper-title-generator,EleutherAI/gpt-neo-2.7B,nlp
github.com/csinva/gpt-paper-title-generator,facebook/opt-2.7b,nlp
github.com/cuongnn218/zalo_ltr_2021,resnet152,vision
github.com/cuongnn218/zalo_ltr_2021,FPTAI/vibert-base-cased,nlp
github.com/cuongnn218/zalo_ltr_2021,vinai/phobert-base,nlp
github.com/cuongnn218/zalo_ltr_2021,vinai/phobert-large,nlp
github.com/cuongnn218/zalo_ltr_2021,FPTAI/velectra-base-discriminator-cased,nlp
github.com/danielgross/llamaacademy,jeffwan/vicuna-13b,nlp
github.com/danielgross/teleprompter,all-MiniLM-L6-v2,nlp
github.com/danielgross/teleprompter,jeffwan/vicuna-13b,nlp
github.com/davidberenstein1957/classy-classification,en_core_web_trf,nlp
github.com/davidberenstein1957/classy-classification,typeform/distilbert-base-uncased-mnli,nlp
github.com/davidhuji/capdec,gpt2,nlp
github.com/declare-lab/conv-emotion,resnet152,vision
github.com/declare-lab/conv-emotion,bert-base-uncased,nlp
github.com/deepset-ai/covid-qa,deepset/sentence_bert,nlp
github.com/deepset-ai/covid-qa,bert-base-nli-stsb-mean-tokens,nlp
github.com/demi6od/chatbot,bert-base-uncased,nlp
github.com/demi6od/chatbot,distilgpt2,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,gpt2,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,gpt2-large,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,gpt2-medium,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,gpt2-xl,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,microsoft/DialoGPT-large,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,microsoft/DialoGPT-medium,nlp
github.com/devjwsong/gpt2-dialogue-generation-pytorch,microsoft/DialoGPT-small,nlp
github.com/dpfried/incoder,facebook/incoder-1B,nlp
github.com/dpfried/incoder,facebook/incoder-6B,nlp
github.com/dqshuai/metaformer,bert-base-uncased,nlp
github.com/eleutherai/gpt-neox,EleutherAI,nlp
github.com/facebookresearch/kilt,t5,nlp
github.com/facebookresearch/kilt,en_core_web_sm,nlp
github.com/facebookresearch/kilt,t5-base,nlp
github.com/facebookresearch/kilt,t5-large,nlp
github.com/facebookresearch/kilt,t5-3b,nlp
github.com/facebookresearch/kilt,t5-11b,nlp
github.com/facebookresearch/multihop_dense_retrieval,Roberta,nlp
github.com/facebookresearch/multihop_dense_retrieval,google/electra-large-discriminator,nlp
github.com/facebookresearch/multihop_dense_retrieval,roberta-base,nlp
github.com/facebookresearch/ov-seg,ViT-B-32-quickgelu,vision
github.com/facebookresearch/ov-seg,RN50,vision
github.com/facebookresearch/ov-seg,RN50-quickgelu,vision
github.com/facebookresearch/ov-seg,RN101,vision
github.com/facebookresearch/ov-seg,RN101-quickgelu,vision
github.com/facebookresearch/ov-seg,RN50x4,vision
github.com/facebookresearch/ov-seg,RN50x16,vision
github.com/facebookresearch/ov-seg,RN50x64,vision
github.com/facebookresearch/ov-seg,ViT-B-32,vision
github.com/facebookresearch/ov-seg,ViT-B-16,vision
github.com/facebookresearch/ov-seg,ViT-B-16-plus-240,vision
github.com/facebookresearch/ov-seg,ViT-L-14,vision
github.com/facebookresearch/ov-seg,ViT-L-14-336,vision
github.com/facebookresearch/parlai,resnet152,vision
github.com/facebookresearch/parlai,resnet101,vision
github.com/facebookresearch/parlai,resnet50,vision
github.com/facebookresearch/parlai,resnet34,vision
github.com/facebookresearch/parlai,resnet18,vision
github.com/facebookresearch/parlai,resnet152_spatial,vision
github.com/facebookresearch/parlai,resnet101_spatial,vision
github.com/facebookresearch/parlai,resnet50_spatial,vision
github.com/facebookresearch/parlai,resnet34_spatial,vision
github.com/facebookresearch/parlai,resnet18_spatial,vision
github.com/facebookresearch/parlai,resnext101_32x8d_wsl,vision
github.com/facebookresearch/parlai,resnext101_32x16d_wsl,vision
github.com/facebookresearch/parlai,resnext101_32x32d_wsl,vision
github.com/facebookresearch/parlai,resnext101_32x48d_wsl,vision
github.com/facebookresearch/parlai,resnext101_32x8d_wsl_spatial,vision
github.com/facebookresearch/parlai,resnext101_32x16d_wsl_spatial,vision
github.com/facebookresearch/parlai,resnext101_32x32d_wsl_spatial,vision
github.com/facebookresearch/parlai,resnext101_32x48d_wsl_spatial,vision
github.com/facebookresearch/parlai,bert-base-uncased,nlp
github.com/facebookresearch/parlai,t5-small,nlp
github.com/facebookresearch/parlai,t5-base,nlp
github.com/facebookresearch/parlai,t5-large,nlp
